,description,review.point,sentiment
2220,"The owners of Bunnahabhain are making a peated version of this normally unpeated Islay whisky to put in their peated blend; Black Bottle. But they have not yet put out; as a regular item; a peated expression of Bunnahabhain for purchase. However; some of the independent bottlers got their hands on some; and this might be the first one to be offered in the U.S. It’s what you would expect a 9 year old peated Bunnahabhain to taste like: toffee; vanilla fudge; and nuts (the Bunny signature); kiln peat smoke; and a bit too much youthfulness. It needs a few more years to mature to acceptable levels. (Bottled for Binny’s Beverage Depot.)
",77,0
2221,"The lightness of the hue suggests a very slow maturation in refill casks; and while I tried hard to get to grips with this; I found the nose simply too discreet. There’s a hint of the burning bonfire which indicates the subtle smoke that underpins Cragganmore; there’s even some parma violet; dried berries; and a hint of sulfur.
The palate picks things up a little; showing ferns; wet moss; Oolong tea; and dried apple; as well as citrus and — surprisingly — some just-lit cigar fuminess. It’s all rather understated; however. This is one of my top distilleries; but compared to the recent Special Releases and magnificent Friends of the Classic Malts bottlings; this is slightly underwhelming. ",77,0
2226,Auchnagie (1812–1911) was a southern Highland distillery that existed for close to a century near Balluinluig; south of Pitlochry. This reanimation is pale yellow in color with an abundance of young; green herbal; and foliage notes; with summer ferns; cardamom pods; and green tea. It has an ethereal; gossamer-like texture; with green apple; melon boats; and soft honey. As the layers peel away; the sweetness is dabbed with spices and black pepper before it peters out.,77,0
2223,A predominantly young blended malt heads up the first of the Reference Series; designed as an educational tool to help attune your palate. It’s a light; floral array; with waxed lemons; oatcakes; and peppermint. Mouthfeel is thin with little structure; heavy on the barley; with hints of boiled fruit candies. Sipped neat; it’s drying; with doughy notes and dried apple. Water fails to enliven the experience; other than showing late lemon and icing sugar. Memorize it; and move up. £37,77,0
2224,Robert McNish conceived his recipe for a lighter style of Highland whisky in Glasgow in 1863 (though the brand added an ‘a’ to his surname for easier pronunciation). Whole orange; ground hazelnut; and ground ginger on the nose; though it keeps pretty tight-lipped. Light and sweet in the mouth; with mandarin and more pronounced ginger mid-palate before a medium-length finish of bubblegum and gooseberry. It just seems a little uninspiring given the special occasion.,77,0
2225,Boldly; this is naturally colored (barely colored) 3 year old grain whisky presented in a tall; clear bottle. The predominant aroma of corn husks is mixed with a sentimental schoolroom whiff of white glue peeled from the fingertips. There’s wheat cracker; bread; cooked ham; dripping foliage; and chopped parsley. A clean; refreshing mouthfeel with pleasant marshmallow sweetness is nixed by flavors of corn; sliced bread; and vanilla; but they are hastily extinguished. A finishing spicy glimmer shuts down quickly too.,77,0
2227,This Highland blend has a nose of lemon peel; tangerine; and pine-scented kitchen surfaces. The whisky is young; with a sweet mandarin dressing over the grain character; barley sugars; and a gentle rumble of spice. What it lacks at this age is mouthfeel; structure; and wood influence. The finish continues the sugared orange theme; with spice and ground pepper fading to soor plooms. For what can be expected at this age; the Clansman does its job well.,77,0
2228,Squished rosehip; nuttiness; and seasoned wood; but there is little else of note on this one. The palate has corn sweetness; red fruits; pomegranate; cherry lips; and descends into soor ploom territory with more oak wood. The finish continues the woody theme with a residual baked apple note.  Port Dundas can be wonderful to drink; but with no shortage of good to great grain whisky on the market; I feel this one is past its best. (258 bottles) £90,77,0
2222,The second of the duo — destined for the U.S. and Taiwan — is a relative youngster and has been extracted from a fresh Spanish oak sherry hogshead. The combination of first-fill and smaller cask size is immediately apparent. The color is mocha dark and the nose has a distinctly sulfurous twist; behind which are black cherries dipped in chocolate; tonka bean; and leather. For me; there’s too much cask and not sufficient Rothes complexities; especially on the palate.,77,0
2205,I have tasted many superb Longrow whiskies in the past 15 years (not to mention some wonderful Tokaji dessert wines). This isn’t one of them. Longrow is an assertive whisky; and I can see the logic of finishing the whisky in an equally big Hungarian wine. The flavors are equal in intensity -- and this is certainly a dynamic whisky -- but they just don’t integrate well. You’ll find notes of waxed fruit; raisin; ripe barley; smoked fig; and toffee. Cloying; waxy finish.,78,0
2199,"Bright gold color. Sweet pear; caramel apples; vanilla; and fudge on the nose. Light to medium in body. On the palate; there is more fruit (pear; citrus) and sweet malt (vanilla; caramel; and toffee); with a gently sweet finish.
   Style: Highland (Isle of Arran) single malt Scotch whisky. Price: high $30s. Available nationwide. 
   Again there is no age statement; and this one is still on the youthful side; but it is richer (some sherry cask aging in the mix?) and expresses more flavors-and deeper flavors-than the one mentioned above. It is still quite young; but it tastes more mature than its age (which is probably six years at the most). There's not much Island character here. ",78,0
2200,"A sherry cask-matured Bowmore. Introduced as ""the brother"" to the 1989 vintage Bowmore released about a year ago (aged in bourbon casks). Notes of waxed fruit; dates; fruitcake; and raisin permeate through tarry rope; leather boots; wet socks; and ripe peat. Underlying notes of demerara rum; chocolate-covered coffee beans; and sea salt. A hedonistic Bowmore with an earthy; rustic demeanor. (1;800 bottles for the U.S.) 
",78,0
2201,"Only moderately peated (15ppm phenol); but a consistent influence. Quite fresh: reminds me of a walk around a traditional distillery; with notes of steeping barley; kiln smoke; and youthful spirit. A subtle; intriguing thread of gin botanicals (especially citrus peel) weaves its way through the palate. Otherwise; the smoke and fruit keep your attention.
",78,0
2202,Inchmurrin is one of many single malts produced by Loch Lomond. It is made using lightly peated malt and matured in bourbon casks; and is named after one of the islands in Loch Lomond. Caramac chocolate and peanut butter on the sweet; fruity nose. The fruit motif continues on to the palate; where spicy malt; vanilla; and ripe peaches predominate. The finish is medium in length and nutty. £50,78,0
2203,"Obviously aged in a sherry cask. Juicy fruit; syrupy; a bit waxy; notes of maple syrup and spice (clove; mint). Nicely soothing; but there is a trade-off here-the soft; floral beauty which makes Linkwood malt so attractive is lost somewhere behind the sherry and escapes only briefly from time to time. (Bottled exclusively for Binny’s Beverage Depot.) 
",78,0
2204,Light onionskin color; the nose is scented with red fruits; cranberry sauce; hawthorn jelly; and red apple. With water there’s some bletted medlars mixed with lemon. Sadly; the palate is soapy to start with; before the super-ripe red fruits come through. Water makes things fresher; but overall it lacks personality.,78,0
2206,Distilled at the start of 2009; this special edition was bottled mid-2014; making it a 5 ½ year old whisky. The nose is ashy paste with a good measure of barnyard funk along with sherry; oak; and clove spice. The entry is all ashtray; a late night of sweet wine and cigarettes. Sherry notes fight the smoke to emerge; but the smoke simply dominates. A smoky; ashy; spicy; and dry finish round out a face-slapper of a whisky. (U.S. only),78,0
2213,Hailing from the Speyside distillery; this has a deep orange color and an aroma of damp hay and a slightly vegetal note alongside caramel and peanut brittle. A perception of bitterness beside dried peels. The palate is thick with stewing fruits; tinned prune; and burnt sugar; with a background note of wet draff. Water lifts things a little; but it's all rather sick and flabby. £150,78,0
2208,Caramel wafers; white pepper; pumice stone; and strands of caramel on the nose; but this is not a whisky bursting with personality. A sip brings cocoa and chocolate flavors which meld into an herb garden bouquet. A thin mouthfeel and rather linear flavor development make this seem rather ordinary; not a word I normally associate with this idiosyncratic range. The finish is redolent of marble cake. Not a patch on the superb Batch 1 in my book. (415 bottles) £100,78,0
2209,Papier mâché; adhesives; lemongrass; green cardamom; peanut; pear; and other aromatic; fruity characteristics create a puzzling aroma profile. On sipping; there is fruity baked apple; sherbet; and glowing light citrus notes of orange; grapefruit; and lime; with a medium weight structure. The flavors tip toward a slight sour fruit note; but as this flattens out; creaminess rules. The finish suffers a short; quick death; leaving mild; sour fruit. Water brings crystallized lemon on the nose and sweeter; light fruits. £63,78,0
2210,One might speculate about the initial qualities of this young grain prior to its sherry cask finish. While it boasts a richer color; the nose is reminiscent of roast beef; plasticine; wet dog; and bruised raspberries. In the mouth; it has good weight; though mouth puckering; with some brief rubbery notes early on before showing strawberry bubblegum; sugar crystals; black cherry; rhubarb; faint coffee notes; and an ever-growing pepperiness. An enjoyable finish of baked apple and star anise. (727 bottles) £44,78,0
2211,What does this say about how far whisky has come? We live in an era where you can now buy the official whisky from a major motion picture. This has a deep amber color. Really deep. The nose brings warm muffins; caramel; and grassy notes with a good dose of smoke. It’s a sweet concoction with a peppery kick. There’s a tinge of polypropylene before a short; clipped; spicy finish. It just needs to find more of its own identity.,78,0
2212,The entry level official Girvan is named after their ‘MPS’ distillation apparatus that distills at various pressures and under vacuum to vaporize and distill at lower temperatures. This is very light; with fresh whole pineapples; orange fondant creams; delicate vanilla; and risen dough. It’s fiendishly sweet (have a dental hygienist on standby); like a deep layer of butter frosting; sticky cotton candy; honey; overripe bananas; and spearmint. The expeditious finish tenders cookie mix; digestive biscuits; and a grind of pepper. £45,78,0
2214,The range begins with this entry-level whisky; aged for 3 years. Aromas of pale toffee; vanilla; and scented; herbaceous notes can be found on the nose. It has a light; silky texture and comprises flavors of stewed fruits; with a slight bitterness behind them. Plum and coffee notes expand; though it remains tart through to the buzzy finish; which is lifted by hints of chocolate. A robust and pugnacious dram.,78,0
2215,This bottling from an unspecified Highland distillery is intended to represent the style of whisky to be produced in the Raasay distillery; currently under construction.  Peated to a level of 15ppm; this expression has been finished in Tuscan red wine casks.  4;000 bottles are available. Buttery farmyard aromas; with red berries and a sense of relative youth.  Silky on the palate; with intense fruit sweetness and an immediate delivery of very spicy peat. Pepper and peat in a medium-length finish. £55,78,0
2216,Meaning “son of the sea;” this MacNaMara has a lilting sweetness that lifts from the glass; the characteristic orange-peel oil note is present; but less assertive. Nectarine; Murray mints; and antique shop mustiness; but a lot less aromatic than many of its contemporaries. Flavors of sweet melon; golden honey; and tangy orange take off in the mouth; with tastes of white pepper; fennel; and ground ginger in hot pursuit. Pepperiness penetrates an otherwise juicy finish.,78,0
2207,Touches of acetone and magic marker/solvent suggest that there’s precious little cask involvement going on here. Pleasing enough; with lime jelly and kiwi fruits; and a little whiff of sweet oak; but it’s very understated. In the mouth; it performs in a nutty way but doesn’t seem to have moved much over its quarter of a century sequestration. There is some horchata and brazil nut; even a mashy note; but it either needs more time or a kick to get it moving. £70,78,0
2180,"Lushly fruity and quite sweet. A bit too sappy on the nose; but more even-keeled on the palate. The fruit notes (nectarine; plum; orange marmalade) sit on a bed of caramel; shortbread; and thick honey; with chocolate-covered almonds emerging on the finish. For those who like their Highland Park youthful and very sherried. (Bottled for Grape Vine Market) 
",79,0
2179,A 1992 ‘Rothes finished in a peated cask; this shows immediate smoke along with some cellar notes. Behind is some laurel and a light lemon touch. It has surprising intensity. It’s all very clean and fresh; but while the smoke is there it wanders about in a somewhat distracted fashion. Like the recent Glenlivet peated cask offering it just lacks integration. Maybe if you want smoke; you should peat the barley. Who’da thunk it? £42,79,0
2178,"Finished in sherry casks. The sherry adds a nutty toffee sweetness; bramble; and other assorted red fruit and raisin; with the tell-tale Glenmorangie complexity tucked underneath. A bit heavy on the sherry; though; for such a subtle spirit.
",79,0
2177,"A quintet of releases showing examples of The Glenlivet from five decades; issued to support The Glenlivet Generations 70 year old bottling. All are available individually or in a limited edition set (50 only) for £2;850; these bottlings are not currently available in the U.S.

The nose immediately betrays the fact that this has been matured in a first-fill sherry hogshead. It’s akin to an artisan’s workshop; all leather oil and strange resins. There’s an intriguing hint of curry spices and truffle; but all in all this is about density; black fruits (damson); allspice; and clove. The cask is in charge. The palate has more tannin than you perhaps want — powerful and grippy with lots of nut and tea-like tannins; too grippy for me. £500 ",79,0
2176,This is coming from a first fill sherry hogshead; so there’s little surprise that the color is as dark as pitch. This is Glenfarclas at its most concentrated; less about dried fruit and more about highly-roasted espresso with a glass of ancient Marsala on the side. The palate shows firm grip moving into astringency. Too much cask for me; but if this is what rocks your boat; go for it! £840,79,0
2175,"Somewhat sidelined thanks to the presence of Glenrothes and Glen Grant (not to mention Speyburn) in the same village; Glen Spey gets on with producing fillings for numerous Diageo blends (primarily J&B). As a result; it’s rarely seen as a single malt; with even independent bottlings pretty thin on the ground.
This 21 year old is the color of old gold; and while the nose initially surprises with a hint of suet dumplings; there’s a rich and dangerously hedonistic sweetness behind; which is strangely hard to pin down. Coconut cream? Suntan lotion? Blackening butter in a frying pan? Eventually it appears to settle in the crème brûlée area; along with a fruity base (sweet; of course). There’s a light green note that suggests it might be distillery character coming through; but water suggests it’s new wood. 
In the mouth; there’s vanilla fudge and toffee; before a hint of muesli alongside dried mango. Overall it’s a bit like eating breakfast in a new ski chalet. Showy and impressive; but for me the wood’s in charge. ",79,0
2170,"A peculiar Auchentoshan. The Bordeaux wine dominates; with its distinctive winery aroma and flavor. Red raspberry; red currant; and a hint of strawberry comprise the core of this whisky; with underlying notes of vanilla cream; cocoa; and a hint of demerara rum. The whisky spent nine of its years in Bordeaux wine casks. I would have preferred less time in the wine casks for such a delicate whisky. 
",79,0
2173,"Very pale. A little thin in body; sharp and penetrating. Very Caol Ila-like; with notes of damp peat; Greek olives; seaweed; mustard seed; incense; gin herbs; freshly ground pepper; and vanilla malt. Smoldering peat finish. I would like to see more body to this whisky. (634 bottles produced.) 
",79,0
2172,"Aged in bourbon oak and then finished in Guigal Hermitage Rouge Syrah wine casks. Bright notes of red raspberry; rhubarb; currant; plum; and (not surprisingly) grape; with background notes of vanilla and caramel. I find the syrah notes entertaining on the nose; but too dominant on the palate for balance. The fruit becomes waxy and hides a lot of Bruichladdich subtle complexities. (Bottled exclusively for The Party Source.) 
",79,0
2171,"Dominant notes of citrus (lemon; lime) and other tropical fruits (coconut; mango) on the nose. On the palate; the whisky is simple and uncomplicated. The entry is soft and malty; and then it becomes dry and gently oaky. Not overly inspiring; but those who purchase the whisky for its rarity value (the distillery closed in 1983); shouldn’t be discouraged from actually drinking the stuff some day. 
",79,0
2169,Finishing in octave-sized PX casks has resulted in the creation of an oddity: the world’s first Ardbeg cordial. There’s smoke; pigskin leather; and a sudden rootiness; mixed with damp woodland; stewing Victoria plums; and a weirdly lactic note. This continues on the tongue; giving an effect like smoked cream cheese dotted with raisins. Hmm…£120/500 ml,79,0
2168,Shy is the word. Pale in color; again suggestive of little cask interaction. There’s a little hint of white currant and light cereal; delicate and fragile — more fragile than the Balmenach — with a little touch of white chocolate. As it opens; out comes violet. The mouth is tense; as if everything is still baled up; even after all this time. Very light acidity gives a certain freshness that water doesn’t shake loose. Simply not enough cask. £67,79,0
2181,"This whisky is not as good as the similarly-aged; more polished and refined; standard distillery-bottled 25 year old cask-strength expression (our ""Whisky of the Year"" several years ago). This single cask bottling from a sherry cask is intensely sherried. Sappy fruit notes dominate the palate. Damp; somewhat tired; oak notes are prevalent throughout. The whisky is also nutty; with heathery peat notes emerging occasionally. The floral; heather-honeyed grace treasured in Highland Park struggles to emerge; and ultimately loses the battle. (Bottled exclusively for Park Avenue Liquors.) 
",79,0
2174,"Not immature; but very intense and unabashed. Sweet barley notes and vanilla are beaten up by coal tar; damp kiln smoke; and fiery spice on the finish. For those who like their Islay whiskies young. Very young. I would have waited a couple more years before bottling this one. Pure testosterone. (Bottled for Maxwell Street Trading Co.)
",79,0
2182,Rich and viscous in texture. Sappy waxed fruit; maple syrup; and nougat. Becoming quite nutty with emerging notes of damp peat; dates; plum and blueberry. The sherry is fairly dominant and masks some of the whisky's subtleties. After dinner with a cigar; perhaps? (Bottled exclusively for Beltramo's.),79,0
2185,There’s no age statement; but the whisky is less than 10 years old -- and is a little green. Notes of toffee almonds; ripe fruit; freshly-ground pepper; chorizo; bacon fat; and damp peat smoke. Lingering smoke and brine on the finish. A few more years of maturation should improve this whisky significantly.,79,0
2184,"Jura’s newest offering; and the oldest in the portfolio. It is drastically different than its younger siblings-this one is quite sherried; as its deep amber color with reddish hues suggests. I really enjoy how this whisky tastes on the palate-it’s rich and silky with notes of fruitcake; toffee; maple; orange chocolate truffle; cinnamon; and nutmeg. You’ll find the same notes on the nose; but there are also elements-cloying fruit; perfume; and a peculiar fleshy component-which detract from an otherwise lovely whisky. 
",79,0
2183,"Inchmurrin has enjoyed a higher profile since early 2013; when the range was extended to include 15; 18; and 21 year old
expressions. The lineup also boasts striking new packaging and is bottled non-chill filtered. Orange fondant cream and peaches on the nose; with caramel in the background. Fuller-bodied than the 15 year old expression; with pineapple cheesecake and ginger on the palate. The finish is quite long; and spicier and more peppery than that of the 15 year old bottling (also reviewed this issue). £70",79,0
2198,You’re familiar with those generic blended Scotch whiskies of debatable origin with an inoffensive flavor profile; right? This isn’t one of those. With aromas of the fruit and foliage of an orange grove; beeswax; and a grassy note; this is a juicy; citrus-led dram that puffs out in the mouth; bringing a tingle of light pepper; ginger; and thick fudge. Despite the thinner mouthfeel; the baked orange and bitter Seville orange on the finish give it some bite. Perfectly serviceable.,79,0
2197,Craigellachie is one of Scotland’s most interesting distilleries: its worm tubs providing a deliberately sulfury new make whose aromas flash off after maturation to reveal a deeply floral; pineapple-accented palate. Here; sadly; an inactive cask has meant that cabbagey sulfur has not been fully worked out. The fleshiness of the mature spirit is emerging; but this should have been kept in cask for another five years or so. Lacks balance and maturity. £60,79,0
2196,Bottled as part of Douglas Laing’s Single Minded range; which focuses on young small batch bottlings; this 8 year old Jura matured in two refill sherry butts after being distilled in April 2006. Pear drops; pine nuts; and damp woodland on the nose. The palate is light and fruity; though dark spices and aniseed soon emerge. Peppery oak in the dry finish. £33,79,0
2194,Bottled as one of last year’s Diageo Special Releases; this is very minty to start: mint chocolate to be precise; before Brazil nut and toasted bran appear; given balance by creamy oak. This mix of nuts and sweetness continues on the tongue alongside an early burst of strawberry; but the center and back palate are foosty (as we say in Scotland); or dusty; as you probably do.,79,0
2193,The nice thing about Islay whiskies is that they often show their true nature better at a younger age. Malty sweet and incredibly herbal (almost gin-like); with emerging tar; smoked seaweed; and olive. Medicinal in nature; with lingering tar and brine on the finish. Fairly straight-forward (what do you expect for 8 years old?) but a pretty decent showing for a whisky this young.,79,0
2192,London-based specialist The Whisky Exchange won’t reveal where its main Islay brand is distilled; though the smart money is on a distillery not that far away from the ferry terminal that gives it its name. This expression is less phenolic than you might expect; there’s more rapeseed oil than smoke; but it does have a nori wrap shoreline character. The palate is discreet; with pineapple and creaminess leading the way toward a bonfire made of old fishboxes. £60,79,0
2195,A sweet; aromatic nose; with fresh cream; flaked almonds; macaroons; pomegranate juice; and a veneer of vanilla from this refill barrel. The palate starts warm and sweet; then revs up to full power; light butterscotch; cotton candy; clementine; Toledo marzipan; and corn kernels; with a hint of fresh green salad leaves. The short finish picks over corn; cake mix; and cream soda. Power; but not enough finesse from the wood here. £64,79,0
2190,Amber in hue; this starts off very succulent and approachable; with some butterscotch; vanilla; and caramel toffee; but like its brother; it dries. The palate is lighter than the 14 year old; and seems to float; lacking an anchor. When it does come down; it does so with a cereal crunch. Water lightens it still further; just leaving a mix of oak and cereal; and an astringent finish. (France only) €56,79,0
2189,"Plenty of citrus zest; along with subtle pineapple and coconut on the nose. The palate begins with honeyed-malt sweetness; followed by the citrus fruit; but then quickly turns dry and resinous; with dried nuts and spicy oak on the finish. The intensity of the dryness on the finish surprised me and detracted from an otherwise well-rounded dram. 
",79,0
2188,"Enjoyable creamy texture and medium-bodied. Gently sweet notes of light toffee and vanilla custard; especially towards the front of the palate. Nutty too; with some sultana in the background. Gentle oak notes towards the finish. A very clean; well-balanced whisky that’s very easy to drink but also takes few risks. 
",79,0
2187,"Matured in a refill sherry cask. (A first-fill sherry cask would have completely dominated Rosebank’s delicate flavor profile.) With the addition of water (which is necessary); the whisky becomes quite cloudy. Rosebank’s traditional honeyed vanilla; grass/hay; and soft fruit are accentuated by lightly sherried; soft toffee flavors. An interesting whisky; but the flavors are not clean and well-defined enough to warrant a higher rating.
",79,0
2186,"Quite palate-coating for a Lowlander; with sweet notes of vanilla malt; grist; honey and marshmallow. More subtle notes of cut grass; linseed oil; rubber erasers; and chalky antacid tablets. A peculiar-tasting whisky. 
",79,0
2191,"Indeed smooth; and malty; with vanilla; shortbread; golden raisin; and macadamia nuts. Light oak spice emerges on a fairly quick finish. (It is only 8 years old; after all.) Pleasant and easy-going.
",79,0
2113,Another whisky that will not disappoint fans of the brand; but it doesn’t do enough to bring any converts on board. The nose is fresh and sweet; with barley and ginger and not much else. The taste is perfectly acceptable; and at this strength better than the standard bottling. Water brings out a sweet malt and barley core; some gentle spice; and a rich sweetness. ,80,1
2108,"Very fragrant and perfumed on the nose. Chewy and syrupy on the palate; with layers of sweetness (toffee; caramel; fudge); roasted almonds; and raisins. A drying; resinous spice finish saves the sweetness from being too dominant. Call me sentimental; but I just remembered the old Campbell Distillers 10 year old bottling which expressed so much more finesse; and was cleaner and not as heavy and cluttered. 
",80,1
2109,"This Glencraig; along with Mosstowie (reviewed below); were experimentations with ""Lomond"" stills; where the top of the stills were replaced with a rectifying column; allowing several different styles of whiskies to be produced at the same distillery. The Lomond stills were eventually removed. This is a very creamy malt; with an oily texture. Notes of bananas and cream; ripe barley; caramel; graham cracker; and orange creamsicle. Dry; spicy finish. The fruity zing in this whisky shows that it still has some life in it. A dessert whisky indeed. 
",80,1
